"","Wofford","33","16-17","2593","78.6"
"59","Utah","32","20-12","2511","78.5"
"60","Troy","36","22-14","2824","78.4"
"61","Canisius","34","18-16","2665","78.4"
"62","UTRGV","32","10-22","2505","78.3"
"","Florida","32","24-8","2505","78.3"
"64","IUPUI","32","14-18","2500","78.1"
"65","Ole Miss","34","21-13","2656","78.1"
"66","CSUN","30","11-19","2341","78.0"
"67","Notre Dame","34","25-9","2652","78.0"
"68","Eastern Mich.","33","16-17","2566","77.8"
"69","Austin Peay","30","11-19","2331","77.7"
"70","South Dakota","33","22-11","2564","77.7"
"71","Buffalo","32","17-15","2486","77.7"
"72","Villanova","34","31-3","2641","77.7"
"73","Lamar University","33","19-14","2563","77.7"
"74","NC State","32","15-17","2483","77.6"
"75","North Florida","34","15-19","2637","77.6"
"","South Dakota St.","34","18-16","2637","77.6"
"77","Southern Utah","33","6-27","2559","77.5"
"78","Louisville","32","24-8","2481","77.5"
"79","Jacksonville","33","17-16","2557","77.5"
"","Louisiana Tech","33","23-10","2557","77.5"
"81","Wyoming","32","18-14","2479","77.5"
"82","Belmont","28","22-6","2167","77.4"
"83","UT Arlington","33","25-8","2552","77.3"
"84","Hofstra","32","15-17","2473","77.3"
"85","Stetson","32","11-21","2471","77.2"
"86","UT Martin","33","21-12","2548","77.2"
"87","Akron","34","26-8","2625","77.2"
"88","UNC Asheville","32","23-9","2469","77.2"
"89","Gardner-Webb","33","19-14","2546","77.2"
"90","Utah Valley","31","15-16","2388","77.0"
"91","Wright St.","32","20-12","2465","77.0"
"92","Detroit Mercy","31","8-23","2387","77.0"
"","Ohio","31","20-11","2387","77.0"
"94","Youngstown St.","34","13-21","2616","76.9"
"95","Kent St.","35","22-13","2692","76.9"
"96","UMKC","33","17-16","2538","76.9"
"97","St. Bonaventure","32","20-12","2459","76.8"
"98","St. John's (NY)","33","14-19","2534","76.8"
"99","Quinnipiac","31","10-21","2377","76.7"
"100","Charlotte","30","13-17","2295","76.5"
"101","Dayton","31","24-7","2370","76.5"
"102","Washington","31","9-22","2368","76.4"
"103","UIC","33","15-18","2520","76.4"
"104","Ga. Southern","32","18-14","2443","76.3"
"105","Butler","31","23-8","2365","76.3"
"106","Arizona","34","30-4","2593","76.3"
"107","Northern Ky.","34","24-10","2589","76.1"
"108","Bucknell","34","26-8","2587","76.1"
"109","Lehigh","32","20-12","2432","76.0"
"","Northwestern St.","29","13-16","2204","76.0"
"111","Brown","30","13-17","2275","75.8"
"112","Denver","30","16-14","2273","75.8"
"113","Syracuse","32","18-14","2424","75.8"
"114","Boise St.","31","20-11","2348","75.7"
"115","Saint Francis (PA)","33","17-16","2498","75.7"
"","Rider","33","18-15","2498","75.7"
"117","Colorado","33","19-14","2494","75.6"
"118","La Salle","30","15-15","2266","75.5"
"119","Western Mich.","32","16-16","2417","75.5"
"120","A&M-Corpus Christi","31","20-11","2335","75.3"
"121","Minnesota","33","24-9","2484","75.3"
"122","N.C. Central","33","25-8","2479","75.1"
"123","Elon","32","18-14","2403","75.1"
"124","Oral Roberts","30","8-22","2252","75.1"
"125","Kennesaw St.","32","14-18","2401","75.0"
"126","Middle Tenn.","34","30-4","2551","75.0"
"","UNC Greensboro","34","25-9","2551","75.0"
"128","Siena","34","17-17","2549","75.0"
"","Long Beach St.","34","15-19","2549","75.0"
"130","Drexel","32","9-23","2397","74.9"
"131","Central Ark.","32","8-24","2395","74.8"
"132","LSU","31","10-21","2319","74.8"
"133","Michigan","35","24-11","2618","74.8"
"","North Dakota St.","30","19-11","2244","74.8"
"135","Eastern Ill.","29","14-15","2169","74.8"
"136","Clemson","33","17-16","2468","74.8"
"137","Montana","32","16-16","2391","74.7"
"138","Nicholls St.","31","14-17","2316","74.7"
"139","Valparaiso","33","24-9","2465","74.7"
"140","VCU","34","26-8","2539","74.7"
"141","Chattanooga","31","19-12","2314","74.6"
"142","Xavier","34","21-13","2537","74.6"
"143","George Mason","33","20-13","2461","74.6"
"144","Southeast Mo. St.","33","15-18","2460","74.5"
"145","SMU","34","30-4","2534","74.5"
"146","Cincinnati","34","29-5","2532","74.5"
"147","Tennessee","32","16-16","2383","74.5"
"148","Furman","32","21-11","2381","74.4"
"149","Texas Southern","34","23-11","2529","74.4"
"150","Charleston So.","31","12-19","2304","74.3"
"151","Georgia St.","32","20-12","2378","74.3"
"152","Sam Houston St.","34","21-13","2526","74.3"
"153","Niagara","33","10-23","2448","74.2"
"154","Yale","29","18-11","2151","74.2"
"155","Maryland","32","24-8","2373","74.2"
"","Bryant","32","12-20","2373","74.2"
"157","Towson","33","20-13","2447","74.2"
"158","Georgetown","32","14-18","2369","74.0"
"159","Richmond","33","21-12","2441","74.0"
"160","Memphis","32","19-13","2367","74.0"
"","Fresno St.","32","20-12","2367","74.0"
"162","TCU","34","19-15","2512","73.9"
"163","Davidson","32","17-15","2362","73.8"
"164","Idaho","31","18-13","2284","73.7"
"165","Houston","31","21-10","2283","73.6"
"","New Mexico","31","17-14","2283","73.6"
"167","Appalachian St.","30","9-21","2208","73.6"
"168","Bowling Green","32","13-19","2355","73.6"
"169","Vermont","34","29-5","2501","73.6"
"170","Cal St. Fullerton","31","17-14","2275","73.4"
"171","Loyola Chicago","32","18-14","2348","73.4"
"172","Rhode Island","33","24-9","2421","73.4"
"173","Arkansas St.","32","20-12","2346","73.3"
"","Texas Tech","32","18-14","2346","73.3"
"","Seton Hall","32","21-11","2346","73.3"
"176","San Jose St.","30","14-16","2195","73.2"
"177","Boston U.","32","18-14","2339","73.1"
"178","Air Force","33","12-21","2411","73.1"
"179","Oklahoma","31","11-20","2262","73.0"
"180","Pittsburgh","33","16-17","2404","72.8"
"181","New Orleans","32","20-12","2331","72.8"
"182","Missouri St.","33","17-16","2403","72.8"
"183","Colorado St.","35","24-11","2548","72.8"
"184","Ohio St.","32","17-15","2329","72.8"
"185","Fairleigh Dickinson","30","11-19","2183","72.8"
"186","Baylor","32","25-7","2327","72.7"
"187","Sacred Heart","32","13-19","2326","72.7"
"188","Army West Point","32","13-19","2324","72.6"
"189","NJIT","31","11-20","2251","72.6"
"190","Mississippi St.","32","16-16","2320","72.5"
"","Boston College","32","9-23","2320","72.5"
"192","Kansas St.","34","21-13","2462","72.4"
"193","Tennessee Tech","32","12-20","2317","72.4"
"194","Utah St.","31","14-17","2241","72.3"
"195","Fairfield","30","16-14","2168","72.3"
"196","Northern Ill.","32","15-17","2310","72.2"
"197","Coastal Caro.","33","16-17","2382","72.2"
"198","Princeton","29","23-6","2091","72.1"
"199","Illinois","33","19-14","2379","72.1"
"200","Northeastern","31","15-16","2234","72.1"
"201","South Carolina","32","22-10","2306","72.1"
"202","Saint Mary's (CA)","32","28-4","2304","72.0"
"203","Wisconsin","34","25-9","2446","71.9"
"204","Campbell","35","18-17","2516","71.9"
"205","Western Ill.","28","8-20","2012","71.9"
"","Harvard","28","18-10","2012","71.9"
"207","Columbia","27","11-16","1940","71.9"
"208","Massachusetts","33","15-18","2371","71.8"
"209","Albany (NY)","34","21-13","2441","71.8"
"210","UAB","33","17-16","2369","71.8"
"211","Florida A&M","30","7-23","2153","71.8"
"212","Michigan St.","33","19-14","2367","71.7"
"","Penn St.","33","15-18","2367","71.7"
"214","Georgia","33","19-14","2366","71.7"
"215","Northern Colo.","29","11-18","2075","71.6"
"216","Grambling","33","16-17","2361","71.5"
"217","Cornell","29","8-21","2074","71.5"
"218","Southern U.","33","15-18","2360","71.5"
"219","San Francisco","32","20-12","2286","71.4"
"220","South Alabama","32","14-18","2284","71.4"
"221","UMES","34","14-20","2426","71.4"
"222","Vanderbilt","34","19-15","2423","71.3"
"223","CSU Bakersfield","32","23-9","2280","71.3"
"224","Drake","31","7-24","2208","71.2"
"225","LIU Brooklyn","32","20-12","2278","71.2"
"226","New Hampshire","32","20-12","2277","71.2"
"227","Tennessee St.","30","17-13","2134","71.1"
"228","Sacramento St.","31","13-18","2204","71.1"
"229","Bethune-Cookman","32","10-22","2275","71.1"
"230","Northwestern","34","23-11","2417","71.1"
"231","Temple","32","16-16","2269","70.9"
"232","Southeastern La.","32","16-16","2268","70.9"
"233","Eastern Ky.","31","12-19","2197","70.9"
"234","Mercer","32","15-17","2267","70.8"
"235","Manhattan","32","10-22","2259","70.6"
"236","Duquesne","32","10-22","2256","70.5"
"237","UC Davis","34","22-12","2396","70.5"
"238","McNeese","29","7-22","2043","70.4"
"239","Loyola Marymount","30","15-15","2113","70.4"
"240","Washington St.","31","13-18","2179","70.3"
"","Tulane","31","6-25","2179","70.3"
"242","Miami (OH)","32","11-21","2249","70.3"
"243","Fla. Atlantic","30","10-20","2108","70.3"
"244","FIU","31","7-24","2178","70.3"
"245","Providence","32","20-12","2248","70.3"
"246","Texas A&M","31","16-15","2176","70.2"
"247","Indiana St.","31","11-20","2170","70.0"
"248","SFA","32","18-14","2239","70.0"
"249","Nebraska","31","12-19","2168","69.9"
"250","South Carolina St.","31","11-20","2167","69.9"
"251","Norfolk St.","34","17-17","2374","69.8"
"252","Idaho St.","31","5-26","2164","69.8"
"253","UC Irvine","35","21-14","2443","69.8"
"254","George Washington","33","19-14","2303","69.8"
"255","Mississippi Val.","32","7-25","2233","69.8"
"256","Stanford","31","14-17","2162","69.7"
"257","Jacksonville St.","34","20-14","2371","69.7"
"258","Seattle U","30","13-17","2091","69.7"
"259","Saint Joseph's","31","11-20","2155","69.5"
"260","Marist","32","8-24","2223","69.5"
"261","Alcorn","32","18-14","2221","69.4"
"262","Hampton","30","14-16","2082","69.4"
"263","Miami (FL)","32","21-11","2220","69.4"
"264","Evansville","33","16-17","2288","69.3"
"265","Northern Ariz.","32","9-23","2218","69.3"
"266","UTEP","32","15-17","2217","69.3"
"267","North Texas","30","8-22","2075","69.2"
"268","Stony Brook","31","18-13","2144","69.2"
"269","Missouri","32","8-24","2213","69.2"
"270","Pepperdine","31","9-22","2140","69.0"
"271","Western Ky.","32","15-17","2209","69.0"
"272","Col. of Charleston","35","25-10","2416","69.0"
"273","Prairie View","33","13-20","2276","69.0"
"274","DePaul","32","9-23","2206","68.9"
"275","Penn","28","13-15","1928","68.9"
"276","Illinois St.","33","27-6","2271","68.8"
"277","UNLV","32","11-21","2202","68.8"
"278","High Point","31","15-16","2133","68.8"
"279","VMI","30","6-24","2057","68.6"
"280","Alabama","34","19-15","2330","68.5"
"281","San Diego St.","33","19-14","2260","68.5"
"","Southern Ill.","33","17-16","2260","68.5"
"283","Little Rock","32","15-17","2188","68.4"
"284","Delaware St.","32","10-22","2186","68.3"
"285","Mt. St. Mary's","35","20-15","2390","68.3"
"286","Wagner","30","16-14","2047","68.2"
"287","SIUE","30","6-24","2044","68.1"
"288","California","34","21-13","2316","68.1"
"289","Hawaii","30","14-16","2042","68.1"
"290","Binghamton","32","12-20","2175","68.0"
"291","Texas St.","33","20-13","2229","67.5"
"292","Morgan St.","30","14-16","2025","67.5"
"293","Tulsa","32","15-17","2158","67.4"
"294","UConn","33","16-17","2220","67.3"
"295","Longwood","30","6-24","2018","67.3"
"296","Georgia Tech","33","18-15","2219","67.2"
"297","UCF","32","21-11","2151","67.2"
"298","Cleveland St.","31","9-22","2083","67.2"
"299","Cal Poly","31","11-20","2082","67.2"
"300","Portland","33","11-22","2215","67.1"
"","Texas","33","11-22","2215","67.1"
"302","Dartmouth","27","7-20","1812","67.1"
"303","Milwaukee","35","11-24","2347","67.1"
"304","Colgate","32","10-22","2145","67.0"
"305","Pacific","33","11-22","2206","66.8"
"306","Santa Clara","33","17-16","2204","66.8"
"307","Hartford","32","9-23","2136","66.8"
"308","La.-Monroe","33","9-24","2198","66.6"
"309","Virginia","32","22-10","2131","66.6"
"310","Liberty","33","20-13","2197","66.6"
"311","Saint Peter's","32","19-13","2129","66.5"
"312","Lafayette","30","9-21","1995","66.5"
"313","James Madison","33","10-23","2194","66.5"
"314","Coppin St.","32","8-24","2119","66.2"
"315","UTSA","33","14-19","2178","66.0"
"316","Alabama St.","31","8-23","2042","65.9"
"317","Loyola Maryland","31","15-16","2039","65.8"
"318","Bradley","33","13-20","2163","65.5"
"","Rutgers","33","15-18","2163","65.5"
"320","Delaware","33","13-20","2157","65.4"
"321","San Diego","31","13-18","2025","65.3"
"322","Fordham","32","13-19","2090","65.3"
"","Radford","32","14-18","2090","65.3"
"324","Chicago St.","32","6-26","2089","65.3"
"325","Navy","32","16-16","2076","64.9"
"326","South Fla.","30","7-23","1945","64.8"
"327","UC Riverside","28","7-21","1814","64.8"
"328","Maine","32","7-25","2069","64.7"
"329","Jackson St.","32","14-18","2067","64.6"
"330","Old Dominion","31","19-12","1998","64.5"
"331","Robert Morris","33","14-19","2125","64.4"
"332","N.C. A&T","32","3-29","2056","64.3"
"333","Howard","34","10-24","2165","63.7"
"334","East Carolina","33","15-18","2088","63.3"
"335","Oregon St.","32","5-27","2021","63.2"
"336","Central Conn. St.","29","6-23","1827","63.0"
"337","Southern Miss.","31","9-22","1952","63.0"
"338","St. Francis Brooklyn","31","4-27","1921","62.0"
"339","UNI","30","14-16","1854","61.8"
"340","Ark.-Pine Bluff","32","7-25","1977","61.8"
"341","Alabama A&M","29","2-27","1790","61.7"
"342","American","30","8-22","1845","61.5"
"343","Western Caro.","32","9-23","1965","61.4"
"344","Saint Louis","33","12-21","2026","61.4"
"345","Presbyterian","30","5-25","1836","61.2"
"346","UC Santa Barbara","28","6-22","1701","60.8"
"347","Holy Cross","32","15-17","1932","60.4"
Reclassifying
"NR","UMass Lowell","31","11-20","2429","78.4"
"NR","Incarnate Word","29","12-17","2212","76.3"
"NR","Grand Canyon","31","22-9","2282","73.6"
"NR","Abilene Christian","29","13-16","2009","69.3"
